regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
G-C,512,factor scores,32,-100.93221566682539,-87.33328316503462,-135.1709650923128,-61.97963052008905,-120.68384695912205,-80.45791451992977,0.0
G-C,512,observation reconstruction,32,20.975458611087216,20.271524035527698,16.81011694241485,25.911939160253105,17.95490729406182,24.702888212171047,100.0
G-C,512,latent-signal reconstruction,32,28.7396857303877,28.247186375995316,23.460053465806354,34.52226036575969,25.860319597069175,32.078130827916524,100.0
G-C,2048,loading projector,32,85.88191374234478,88.40287941553385,84.0748993299693,90.41388524309292,86.66469203738806,89.87545189662825,100.0
G-C,2048,factor scores,32,-22.560106209173046,-21.19344272350274,-33.34369077376529,-4.743418899049247,-26.729459408123287,-11.731179467188673,9.375
G-C,2048,observation reconstruction,32,21.301416027207765,23.512144834895228,16.765222746050426,24.796739186991328,21.067002915863295,24.231042337799,100.0
G-C,2048,latent-signal reconstruction,32,31.583309437361407,34.814605283035405,26.959489161348586,36.902681856729245,30.90865165370773,36.149569660949794,100.0
G-C,8192,loading projector,32,94.04123462491617,95.48143306869967,93.38853570408997,96.91904981095911,93.84717655676688,96.02698542954681,100.0
G-C,8192,factor scores,32,10.603643015567325,13.944985702535638,4.687807785498885,17.18358105499707,9.159108897974033,16.3127643846156,81.25
G-C,8192,observation reconstruction,32,22.873176088052283,23.95041524248314,18.827870662241914,27.21025306603297,20.625945903801078,26.234321968548922,100.0
G-C,8192,latent-signal reconstruction,32,33.85281058224454,36.46649985826046,27.973049474147935,39.95343789457283,30.17671767851095,38.82761097840051,100.0
I-A,512,loading projector,32,-62.03409545283074,-52.36333448130716,-89.50282955390648,-27.468867912262574,-78.69986489577343,-33.059361330212276,9.375
I-A,512,factor scores,32,-67.14343172358906,-65.5334206145206,-90.60490969884215,-45.396737807356644,-89.27372592305946,-48.89319099938706,3.125
I-A,512,observation reconstruction,32,-2.6074003559954804,-2.412169505582706,-3.449465682415207,-1.8856928842037881,-3.003452314436014,-2.0679356578078547,0.0
I-A,512,latent-signal reconstruction,32,-6.651048821973374,-6.169498588417854,-7.163157131191976,-5.209367641024556,-6.9007161220210955,-5.422758157757498,0.0
I-A,2048,loading projector,32,-15.970113236776719,-16.093934444239153,-37.12743100989131,7.837252344920236,-24.89500496611331,-6.0904873282129675,28.125
I-A,2048,factor scores,32,-7.537412485223486,-8.367222753927132,-13.977138457278741,0.4989087881425836,-12.513015324537273,-2.4466726362742497,28.125
I-A,2048,observation reconstruction,32,-0.633840555904328,-0.628846389276527,-0.7815891052953569,-0.47860506732811087,-0.7538987236258023,-0.5528470233592295,0.0
I-A,2048,latent-signal reconstruction,32,-2.0381471313091604,-2.104118348325165,-2.3746955605076137,-1.6560355665586397,-2.275980149709454,-1.7197628047499138,0.0
I-A,8192,loading projector,32,-11.959330693875199,-14.540074091500493,-24.449555263883163,2.873587746420287,-22.431823988128127,-0.7017970157308252,31.25
I-A,8192,factor scores,32,21.103299833449544,22.05825590091475,17.316291546846905,25.11979417864795,20.45671901660709,23.727727469341822,100.0
I-A,8192,observation reconstruction,32,-0.14882216758098282,-0.15399296406506818,-0.16814406475255922,-0.12565036802120755,-0.1640804222165264,-0.13791908704384725,0.0
I-A,8192,latent-signal reconstruction,32,-0.587762432822033,-0.5723478980447989,-0.6465421515356939,-0.5328488523666696,-0.595071634490559,-0.553648747746115,0.0
I-M,512,loading projector,32,50.9891018046457,59.4298056908255,47.727757946618354,68.06203653229086,51.576749826667964,63.84979209535205,93.75
